,flat_street,flat_price,flat_room_count,flat_area,flat_district
4725,"Драгомирова вул., 15А",44400,2,52.0,Печерський
4727,"Шевченка Тараса бульв., 27б",33300,3,126.0,Шевченківський
4728,"Джона Маккейна вул. (Кудрі Івана), 7",48063,3,78.0,Печерський
4729,"Каховська вул., 60",25000,2,60.0,Дніпровський
4730,"Тульчинська вул., 9",8000,1,38.0,Подільський
4731,"Джона Маккейна вул. (Кудрі Івана), 7",27750,2,47.0,Печерський
4732,"Регенераторна вул., 4",17000,1,40.0,Дніпровський
4733,"Дмитра Луценка вул. (Крейсера 'Аврора'), 10а",25900,3,100.0,Голосіївський
4734,"Драгоманова вул., 2б",10000,2,45.0,Дарницький
4737,"Бастіонна вул., 14А",23000,2,48.0,Печерський
4738,"Регенераторна вул., 4к3",14500,2,64.0,Дніпровський
4739,"Регенераторна вул., 4к9",14000,1,39.0,Дніпровський
4740,"Празька вул., 31",5500,1,31.0,Дніпровський
4741,"Старонаводницька вул., 8",15000,4,120.0,Печерський
4742,"Гродненська вул., 3/5",6500,2,46.0,Дніпровський
4743,"Філатова академіка вул., 2/1",35150,1,70.0,Печерський
4744,"Джона Маккейна вул. (Кудрі Івана), 7",55500,2,75.0,Печерський
4745,"Оболонський просп., 26",51800,1,80.0,Оболонський
4746,"Липківского Василя вул. (Урицького), 37Б",40700,2,77.0,Солом'янський
4748,"Стуса Василя вул., 35",13500,1,25.0,Святошинський
4749,"Драгомирова вул., 12",53650,3,120.0,Печерський
4750,"Вишняківська вул., 2",13000,1,36.0,Дарницький
4751,"Дніпровська наб., 18а",37000,3,90.0,Дарницький
4753,"Чугуївський пров., 10",6500,1,30.0,Солом'янський
4754,"Хорольська вул., 1а",8500,1,50.0,Дніпровський
4755,"Правобережна вул., 3",9500,1,31.0,Печерський
4756,"Саперне Поле вул., 12",37000,2,75.0,Печерський
4757,"Вирлицька вул., 102",14000,1,47.0,Дарницький
4758,"Екстер Олександри  вул. (Цвєтаєвої Марини), 3",7000,1,44.0,Деснянський
4760,"Братиславська вул., 9а",7000,1,43.0,Деснянський
4761,"Кулібіна вул., 6",13500,2,55.0,Святошинський
4762,"Мартиросяна вул., 19",8000,1,31.0,Солом'янський
4763,"Леся Курбаса просп. (50-річчя Жовтня), 18",7500,2,46.0,Святошинський
4764,"Світла вул., 3",7500,1,36.0,Дарницький
4765,"Ділова вул., 2/1",29600,1,50.0,Печерський
4766,"Зарічна вул., 16",37000,1,47.0,Дарницький
4767,"Джона Маккейна вул. (Кудрі Івана), 7",40700,1,55.0,Печерський
4768,"Голосіївська вул., 13а",21000,2,70.0,Голосіївський
4769,"Путивльська вул., 40",4000,3,71.0,Деснянський
4770,"Васильківська вул., 8а",12000,1,33.0,Голосіївський
4771,"Велика Васильківська вул. (Червоноармійська), 116",15000,3,51.0,Голосіївський
4772,"Шевченка Тараса бульв., 58",25900,3,76.0,Шевченківський
