,flat_street,flat_price,flat_room_count,flat_area,flat_district
0,"Лесі Українки бульв., 17",22000,2,45.0,Печерський
1,"Лесі Українки бульв., 17",22000,2,50.0,Печерський
2,"Лесі Українки бульв., 5",20000,2,65.0,Печерський
3,"Лесі Українки бульв., 5",20000,3,65.0,Печерський
4,"Лесі Українки бульв., 17",22000,2,45.0,Печерський
5,"Рудницького Степана вул. (Вільямса академіка), 19/14",25000,2,77.0,Голосіївський
6,"Драгоманова вул., 25",11000,3,70.0,Дарницький
7,"Предславинська вул., 42",55500,3,86.0,Печерський
8,"Златоустівська вул., 30",31450,1,50.0,Шевченківський
9,"Златоустівська вул., 30",31450,2,50.0,Шевченківський
10,"Артилерійський пров., 7А",16000,2,77.0,Шевченківський
11,"Предславинська вул., 42",55500,3,80.0,Печерський
12,"Максимовича вул. (Трутенка Онуфрія), 24б",15000,1,37.0,Голосіївський
13,"Вершигори Петра вул., 1",6000,1,38.0,Дніпровський
14,"Хрещатик вул., 23",44400,3,75.0,Печерський
15,"Гоголевская, 27",17000,1,42.0,Шевченківський
16,"Осокорська вул., 2а",15000,1,26.0,Дарницький
17,"Максимовича вул. (Трутенка Онуфрія), 28б",15000,1,37.0,Голосіївський
18,"Берестейський просп. (Перемоги), 19",14000,3,73.0,Шевченківський
19,"Набережно-Рибальська дорога вул., 9",55500,2,73.0,Подільський
20,"Велика Васильківська вул., 20",22000,3,90.0,Шевченківський
21,"Оболонський просп., 26",36963,2,52.0,Оболонський
22,"Софіївська вул., 2",18000,2,70.0,Шевченківський
23,"Софіївська вул., 2",19000,2,70.0,Шевченківський
24,"Володимира Івасюка просп. (Героїв Сталінграда), 2",48100,4,117.0,Оболонський
25,"Велика Васильківська вул., 20",23000,3,90.0,Шевченківський
26,"Ковпака вул., 17",33300,3,117.0,Печерський
27,"Софіївська вул., 4",19000,2,66.0,Шевченківський
28,"Заболотного академіка вул., 1а",14500,1,41.0,Голосіївський
29,"Лесі Українки бульв., 7В",55500,3,83.0,Печерський
30,"Салютна вул., 2б",24950,3,85.0,Шевченківський
31,"Юлії Здановської вул. (Ломоносова), 71",33300,3,120.0,Голосіївський
32,"Жилянська вул., 59",17000,1,66.0,Голосіївський
33,"Берестейський просп. (Перемоги), 5-В",27750,2,55.0,Шевченківський
34,"Глибочицька вул., 73",29600,2,58.0,Шевченківський
35,"Старонаводницька вул., 4",27750,3,100.0,Печерський
36,"Зарічна вул., 3А",19500,2,50.0,Дарницький
37,"Максимовича вул. (Трутенка Онуфрія), 26б",13500,1,38.0,Голосіївський
38,"Берестейський просп. (Перемоги), 67е",21000,2,70.0,Святошинський
39,"Заболотного академіка вул., 1б",14500,1,41.0,Голосіївський
40,"Берестейський просп. (Перемоги), 19",13000,3,72.0,Шевченківський
42,"Окіпної Раїси вул., 10",37000,5,300.0,Дніпровський
43,"Старонаводницька вул., 6",29600,3,128.0,Печерський
44,"Дегтярна вул., 6",37000,2,77.0,Подільський
45,"Велика Васильківська вул. (Червоноармійська), 47",25000,2,50.0,Печерський
46,"Зарічна вул., 3А",19500,1,50.0,Дарницький
47,"Палладіна академіка просп., 25",12000,2,86.0,Святошинський
48,"Оболонський просп., 27 А",10000,1,37.0,Оболонський
49,"Бориса Гмирі вул., 17",11000,1,42.0,Дарницький
50,"Кловський узвiз, 7",37000,2,85.0,Печерський
51,"Джона Маккейна вул. (Кудрі Івана), 1",51800,2,72.0,Печерський
52,"Сікорського Ігоря вул. (Танкова), 4д",23000,2,69.0,Шевченківський
53,"Богатирська вул., 14",3700,1,22.0,Оболонський
54,"Бульвар Лихачова, 8а",13000,2,59.0,Печерський
55,"Лесі Українки бульв., 24",30000,3,90.0,Печерський
56,"Зарічна вул., 3а",19500,1,50.0,Дарницький
57,"Іоана Павла II вул. (Лумумби Патріса), 6",38850,1,60.0,Печерський
58,"Драгомирова вул., 7",55500,3,117.0,Печерський
59,"Євгена Сверстюка вул. (Раскової Марини), 52В",19000,4,120.0,Дніпровський
60,"Драгомирова вул., 15",16650,1,23.0,Печерський
61,"Заболотного академіка вул., 1а",14500,1,41.0,Голосіївський
62,"Патріарха Мстислава Скрипника вул., 48а",24000,3,80.0,Солом'янський
63,"Василя Тютюнника вул. (Барбюса Анрі), 37/1",26000,2,81.0,Печерський
64,"Перемоги, 5-В",25900,2,55.0,Шевченківський
65,"Лесі Українки бульв., 19",12000,2,45.0,Печерський
66,"Лесі Українки бульв., 19",12000,2,45.0,Печерський
67,"Василя Тютюнника вул. (Барбюса Анрі), 37/1",25998,2,81.0,Печерський
68,"Зарічна вул., 1б",25900,2,50.0,Дарницький
69,"Радистів вул., 14",23000,2,67.0,Деснянський
70,"Лесі Українки бульв., 19",12000,2,45.0,Печерський
71,"Героїв полку ""Азов"" вул. (Малиновського маршала), 27/23",14000,2,52.0,Оболонський
72,"Ковпака вул., 17",29600,3,117.0,Печерський
73,"Михайла Бойчука вул. (Кіквідзе), 41",22200,1,39.0,Печерський
74,"Джона Маккейна вул. (Кудрі Івана), 7",37000,2,45.0,Печерський
79,"Берестейський просп. (Перемоги), 5",24050,1,46.0,Шевченківський
80,"Євгена Коновальця вул. (Щорса), 32г",30000,4,128.0,Печерський
81,"Джона Маккейна вул. (Кудрі Івана), 1б",55500,3,90.0,Печерський
82,"Драгомирова вул., 7",55500,3,120.0,Печерський
84,"Оболонський просп., 16б",8500,1,33.0,Оболонський
85,"Теремківська вул., 3 а",17500,1,47.0,Голосіївський
86,"Петра Калнишевського вул. (Майорова Михайла), 14",10500,1,38.0,Оболонський
87,"Велика Васильківська вул. (Червоноармійська), 136",15500,2,46.0,Голосіївський
88,"Митрополита Андрея Шептицького вул. (Луначарського Анатолія), 24",7500,1,32.0,Дніпровський
89,"радунська, 11",7000,1,40.0,Деснянський
90,"Правди просп., 41а",15500,1,36.0,Подільський
91,"Каховська вул., 62",11000,1,32.0,Дніпровський
92,"Каховська вул., 62а",11000,1,32.0,Дніпровський
93,"Правди просп., 41а",15500,1,38.0,Подільський
94,"Малопідвальна вул., 21/8",19000,2,55.0,Шевченківський
95,"Драгомирова вул., 7",48100,2,90.0,Печерський
96,"Свободи просп., 26а",8500,1,33.0,Подільський
97,"Трускавецька вул., 10 Д",55130,2,80.0,Дарницький
98,"Слобідський пров. (Луначарського), 7",8000,1,35.0,Дніпровський
99,"Менделєєва вул., 19",24000,1,40.0,Печерський
101,"Драгомирова вул., 20",48100,2,80.0,Печерський
102,"Михайла Омеляновича-Павленка вул. (Суворова), 13",15000,2,60.0,Печерський
103,"Михайла Омеляновича-Павленка вул. (Суворова), 13",14000,2,60.0,Печерський
104,"Менделєєва вул., 19",23000,1,37.0,Печерський
105,"Петра Калнишевського вул. (Майорова Михайла), 14",15000,2,70.0,Оболонський
107,"Драгомирова вул., 15б",37000,2,56.0,Печерський
108,"Менделєєва вул., 19",23000,1,37.0,Печерський
109,"Євгена Коновальця вул. (Щорса), 26а",51800,2,69.0,Печерський
110,"Лобановського просп. (Червонозоряний), 4В",30000,3,115.0,Солом'янський
111,"Євгена Коновальця вул. (Щорса), 32Г",31450,3,130.0,Печерський
112,"Драгомирова вул., 12",22200,1,55.0,Печерський
113,"Франка Івана пл., 4",27750,3,115.0,Печерський
114,"Драгомирова вул., 7",48100,2,90.0,Печерський
115,"Драгомирова вул., 16",48100,3,90.0,Печерський
116,"Деревлянська вул. (Якіра), 16",12000,3,65.0,Шевченківський
117,"Печерський узвiз, 11",15500,2,45.0,Печерський
118,"Петра Калнишевського вул. (Майорова Михайла), 14",16000,2,70.0,Оболонський
119,"Патріарха Мстислава Скрипника вул., 48 А",19000,1,51.0,Солом'янський
120,"Патріарха Мстислава Скрипника вул., 48А",19000,1,51.0,Солом'янський
121,"Чигоріна вул., 55",22200,2,62.0,Печерський
122,"Печерський узвiз, 11",15800,2,45.0,Печерський
123,"Чигоріна вул., 55",22200,2,62.0,Печерський
124,"Бендукідзе Кахи вул., 2",33300,3,68.0,Печерський
125,"Драгомирова вул., 19б",33300,2,50.0,Печерський
127,"Драгомирова вул., 16",55500,3,115.0,Печерський
130,"Драгомирова вул., 9",44400,3,115.0,Печерський
131,"Вузівська вул., 5",18000,3,122.8,Солом'янський
132,"Панаса Мирного вул., 28А",27000,2,87.0,Печерський
133,"Драгомирова вул., 17",44400,2,60.0,Печерський
134,"Липківского Василя вул. (Урицького), 38",24000,1,52.0,Солом'янський
135,"Липківского Василя вул. (Урицького), 38",24000,2,52.0,Солом'янський
138,"Саперне Поле вул., 12",29600,2,72.0,Печерський
139,"Володимира Івасюка просп. (Героїв Сталінграда), 2д",17000,2,50.0,Оболонський
141,"Саперне Поле вул., 12",29600,2,72.0,Печерський
142,"Володимира Івасюка просп. (Героїв Сталінграда), 2д",17000,2,50.0,Оболонський
143,"Сім’ї Кульженків вул. (Дехтяренка Петра), 37",10000,1,36.0,Оболонський
144,"Щекавицька вул., 53",29600,3,90.0,Подільський
145,"Євгена Коновальця вул. (Щорса), 36В",37000,2,82.0,Печерський
146,"Інститутська вул., 18",26000,2,58.0,Печерський
147,"Предславинська вул., 44",33300,2,54.0,Печерський
148,"Максимовича вул. (Трутенка Онуфрія), 26г",17000,1,40.0,Голосіївський
149,"Глушкова академіка просп., 9в",12000,2,63.0,Голосіївський
150,"Вишняківська вул., 7А",14000,3,90.4,Дарницький
151,"Бульварно-Кудрявська вул. (Воровського), 15б",28000,1,43.0,Шевченківський
152,"Саперне Поле вул., 14/55",29600,2,72.0,Печерський
153,"Михайла Бойчука вул. (Кіквідзе), 14",14500,1,36.0,Печерський
154,"Драгомирова вул., 9",37000,2,60.0,Печерський
155,"Балтійський пров., 3",14500,3,104.0,Оболонський
156,"Новопольова вул., 2",15000,1,48.0,Солом'янський
157,"Польова вул., 73",11000,1,24.0,Солом'янський
158,"Кадетський Гай вул., 10",11000,1,32.0,Солом'янський
159,"Малишка Андрія вул., 15",12000,1,40.0,Дніпровський
160,"Заболотного академіка вул., 1",14500,1,41.0,Голосіївський
161,"Ахматової Анни вул., 22",15000,1,46.0,Дарницький
162,"Світла вул., 3Д",9500,1,37.0,Дарницький
163,"Берестейський просп. (Перемоги), 19",14000,3,72.0,Шевченківський
164,"Лесі Українки бульв., 7Б",31450,2,90.0,Печерський
166,"Липківского Василя вул. (Урицького), 38",24000,2,52.0,Солом'янський
169,"Звіринецька вул., 59",35000,2,110.0,Печерський
170,"Теремківська вул., 3а",17500,1,47.0,Голосіївський
171,"Каховська вул., 62а",12000,1,42.0,Дніпровський
172,"Драгомирова вул., 17",29600,2,53.0,Печерський
173,"Підвисоцького професора вул., 16",14000,1,36.0,Печерський
174,"Героїв Дніпра вул., 22а",9500,1,37.0,Оболонський
175,"Бульварно-Кудрявська вул. (Воровського), 17",28000,1,43.0,Шевченківський
176,"Михайла Бойчука вул. (Кіквідзе), 14",14500,1,36.0,Печерський
177,"Миколи Міхновського бульв. (Дружби Народів), 14-16",22200,1,52.0,Печерський
179,"Антоновича вул. (Горького), 44",40700,2,45.0,Голосіївський
180,"Максимовича вул. (Трутенка Онуфрія), 3г",16000,2,85.0,Голосіївський
181,"Григоренка Петра просп., 20А",12500,2,76.0,Дарницький
182,"Центральна вул., 19а",14000,1,31.0,Дарницький
183,"Салютна вул., 2",12500,1,30.0,Шевченківський
184,"Михайла Бойчука вул. (Кіквідзе), 14",14500,1,36.0,Печерський
185,"Філатова академіка вул., 1/22",13000,3,61.0,Печерський
186,"Антоновича вул. (Горького), 44",40700,2,45.0,Голосіївський
188,"Наддніпрянське шосе, 2",18500,2,47.0,Голосіївський
189,"Хрещатик вул., 21",29600,2,60.0,Печерський
190,"Дегтярна вул., 29",37000,2,85.0,Подільський
192,"Глибочицька вул., 32в",29990,2,75.0,Шевченківський
193,"Ярославська вул., 26",13000,1,52.0,Подільський
194,"пер.Металлистов, 1",6990,2,46.0,Солом'янський
195,"Бориса Гмирі вул., 9",6800,2,50.0,Дарницький
196,"Руденко Лариси вул., 10в",8000,1,42.0,Дарницький
197,"Дмитрівська вул., 75",49000,5,160.0,Шевченківський
198,"Антоновича вул. (Горького), 44",48063,2,65.0,Голосіївський
199,"Вернадського академіка бульв., 24",14000,1,45.0,Святошинський
200,"Салютна вул., 2",25000,3,85.0,Шевченківський
201,"Тбіліський пров., 1",13000,1,45.0,Шевченківський
202,"Салютна вул., 2",12500,1,30.0,Шевченківський
203,"Дніпровська наб., 13",8500,1,45.0,Дніпровський
204,"Гашека Ярослава бульв., 18",20000,2,115.0,Дніпровський
205,"Шумського Юрія вул., 1",18000,2,70.0,Дніпровський
206,"Володимира Івасюка просп. (Героїв Сталінграда), 39",8500,3,70.0,Оболонський
207,"Лісовий просп., 7",5500,1,32.0,Деснянський
208,"Романа Шухевича просп. (Ватутіна), 22",7000,1,36.0,Дніпровський
209,"Костянтинівська, 20/14",31450,3,75.0,Подільський
210,"Банкова вул., 3",15000,1,45.0,Печерський
211,"Урлівська вул., 34",9000,1,42.0,Дарницький
212,"Данила Щербаківського вул. (Щербакова), 53",9500,2,55.0,Шевченківський
213,"проспект Победы, 66 ",11500,2,55.0,Шевченківський
214,"Гулака Миколи вул., 4",13000,1,42.0,Оболонський
215,"Гашека Ярослава бульв., 20",13000,2,65.0,Дніпровський
216,"Предславинська, 53",34200,1,56.0,Печерський
217,"Русанівська набережна вул., 12",6500,2,45.0,Дніпровський
218,"Урлівська вул., 23 В",10000,1,40.0,Дарницький
219,"Героїв Оборони вул., 10а",18000,3,89.0,Голосіївський
220,"Берестейський просп. (Перемоги), 67",19300,2,66.0,Святошинський
221,"Милославська вул., 47",8000,1,47.0,Деснянський
222,"Десятинна, 13",37000,1,40.0,Шевченківський
223,"Вірменська вул., 6",12000,1,47.0,Дарницький
224,"Центральна вул., 19А",14000,1,31.0,Дарницький
225,"Завальна вул., 10г",33300,2,90.0,Дарницький
226,"Зарічна вул., 1Г",37000,4,123.0,Дарницький
227,"Пчілки Олени вул., 6а",11000,1,50.0,Дарницький
228,"Центральна, 19",11000,1,30.0,Дарницький
229,"Карела Чапека вул. (Фучіка Юліуса), 7",10000,2,45.0,Солом'янський
230,"Пожарського вул., 8А",9000,2,62.9,Дніпровський
231,"Василенка Миколи вул., 25",6500,2,45.0,Солом'янський
232,"Бажана Миколи просп., 14",12500,2,75.0,Дарницький
233,"Франка Івана вул., 4",29600,3,100.0,Шевченківський
234,"Вишгородська вул., 45",13500,2,88.0,Подільський
235,"Антоновича вул. (Горького), 39",12000,2,54.0,Голосіївський
236,"Берестейський просп. (Перемоги), 17",13000,2,47.0,Шевченківський
237,"Карпатська вул., 26",9000,1,23.0,Солом'янський
238,"Любомира Гузара просп. (Комарова), 11",18000,2,52.0,Солом'янський
239,"Турівська, 4",18000,2,40.0,Подільський
240,"Вишгородська вул., 45",13500,2,88.0,Подільський
241,"Антоновича вул. (Горького), 39",12000,2,54.0,Голосіївський
242,"Берестейський просп. (Перемоги), 17",13000,2,47.0,Шевченківський
243,"Карпатська вул., 26",9000,1,23.0,Солом'янський
244,"Любомира Гузара просп. (Комарова), 11",18000,2,52.0,Солом'янський
245,"Турівська, 4",18000,2,40.0,Подільський
246,"Парково-Сирецька вул. (Шамрила Тимофія), 5 б",7500,1,27.0,Шевченківський
247,"Джона Маккейна вул. (Кудрі Івана), 1Б",36630,1,50.0,Печерський
248,"Антоновича вул. (Горького), 74",48100,2,60.0,Голосіївський
250,"Предславинська вул., 53",49913,2,60.0,Печерський
251,"Дніпровська наб., 1",17999,3,80.0,Дніпровський
252,"Джона Маккейна вул. (Кудрі Івана), 7",48063,3,75.0,Печерський
253,"Грушевського Михайла вул., 34/1",49950,2,70.0,Печерський
254,"Драгомирова вул., 17В",33300,1,46.0,Печерський
255,"Татарська вул., 7",18900,2,70.0,Шевченківський
256,"Урлівська вул., 20",11900,2,73.0,Дарницький
257,"Льва Толстого вул., 27/35",21000,2,58.0,Голосіївський
258,"Братиславська вул., 9а",8000,1,46.0,Деснянський
259,"Вербицького архітектора вул., 8",8000,1,40.0,Дарницький
260,"Бажана Миколи просп., 1а",37000,3,120.0,Дарницький
261,"Берестейський просп. (Перемоги), 131",14000,2,82.0,Святошинський
262,"Сікорського Ігоря вул. (Танкова), 4б",25900,2,78.0,Шевченківський
263,"Каховська вул., 62",11000,1,36.0,Дніпровський
264,"Юрія Іллєнка вул. (Мельникова), 51Б",16500,1,51.5,Шевченківський
265,"Інститутська вул., 15/5",33300,3,83.0,Печерський
266,"Іоана Павла II вул. (Лумумби Патріса), 6/1",44400,3,90.0,Печерський
267,"Верховної Ради бульв., 26",18000,4,95.0,Дніпровський
268,"Леся Курбаса просп. (50-річчя Жовтня), 12в",7500,2,50.0,Святошинський
269,"Дмитрівська вул., 13а",20350,2,60.0,Шевченківський
270,"Старонаводницька вул., 6Б",55500,5,220.0,Печерський
271,"Рогозівська вул., 1а",10500,2,65.0,Дніпровський
272,"Василя Тютюнника вул. (Барбюса Анрі), 47",11500,1,29.0,Печерський
273,"Антоновича вул. (Горького), 109",29600,1,52.0,Голосіївський
274,"Глибочицька вул., 32Б",31450,2,74.5,Шевченківський
275,"Срібнокільська вул., 8",12000,2,54.55,Дарницький
278,"Підвисоцького професора вул., 4в",44400,1,50.0,Печерський
280,"Балтійський пров., 3",14500,3,103.0,Оболонський
281,"Миколи Міхновського бульв. (Дружби Народів), 14-16",33000,2,78.5,Печерський
282,"Пчілки Олени вул., 2- Б",10000,1,43.0,Дарницький
283,"Іоана Павла II вул. (Лумумби Патріса), 12",44400,1,65.0,Печерський
284,"Предславинська вул., 42",55500,3,80.0,Печерський
286,"Новопольова вул., 2",25000,2,65.0,Солом'янський
287,"Регенераторна вул., 4",17000,2,72.0,Дніпровський
289,"Заболотного академіка вул., 1Б",16000,1,43.0,Голосіївський
290,"Євгена Коновальця вул. (Щорса), 37",15000,2,55.0,Печерський
291,"Дмитрівська вул., 82",25000,3,99.0,Шевченківський
292,"Ісмаїла Гаспринського вул. (Сормовська), 3",10500,1,33.0,Дарницький
293,"Євгена Коновальця вул. (Щорса), 44а",20000,2,90.0,Печерський
294,"Саперне Поле вул., 14/55",29600,2,72.0,Печерський
295,"Шолуденка вул., 1 а",20000,1,45.0,Шевченківський
296,"Глибочицька вул., 32б",40700,2,70.0,Шевченківський
297,"Чавдар Єлизавети вул., 38",11000,3,83.0,Дарницький
298,"Драгоманова вул., 8",10500,1,45.0,Дарницький
299,"Софіївська вул., 25а",29600,3,80.0,Шевченківський
300,"Хрещатик вул., 15",35150,4,130.0,Печерський
301,"Митрополита Андрея Шептицького вул. (Луначарського Анатолія), 24",8000,3,77.6,Дніпровський
302,"Хмельницького Богдана вул., 58а",37000,3,85.0,Шевченківський
303,"Старонаводницька вул., 6Б",55500,5,220.0,Печерський
306,"Лесі Українки бульв., 7б",44400,3,140.0,Печерський
307,"Чавдар Єлизавети вул., 8",14000,1,50.0,Дарницький
309,"Митрополита Андрея Шептицького вул. (Луначарського Анатолія), 24",12000,3,60.0,Дніпровський
310,"Коломийський пров., 11",12000,2,45.0,Голосіївський
311,"Окіпної Раїси вул., 3б",6000,1,35.0,Дніпровський
312,"Булгакова вул., 2",4500,1,36.0,Святошинський
315,"Хрещатик вул., 25",40700,2,60.0,Печерський
316,"Дніпровська наб., 25",15000,2,73.0,Дарницький
317,"Русанівський бульв., 9",11000,2,42.0,Дніпровський
318,"Бережанська вул., 18",11000,2,58.0,Оболонський
319,"Драгомирова вул., 20",48100,3,92.0,Печерський
320,"Євгена Маланюка вул. (Сагайдака Степана), 101ш",14500,1,49.0,Дніпровський
321,"Окіпної Раїси вул., 10а",19900,3,106.0,Дніпровський
322,"Окіпної Раїси вул., 10а",19900,3,106.0,Дніпровський
323,"Євгена Маланюка вул. (Сагайдака Степана), 101",14500,2,49.0,Дніпровський
324,"Сім’ї Кульженків вул. (Дехтяренка Петра), 31а",11000,1,49.0,Оболонський
325,"Липківского Василя вул. (Урицького), 37б",23000,2,55.0,Солом'янський
326,"Пушкінська вул., 31б",22000,2,55.0,Шевченківський
327,"Бульварно-Кудрявська вул. (Воровського), 17",33300,2,50.0,Шевченківський
328,"Сім’ї Кульженків вул. (Дехтяренка Петра), 31а",11500,1,51.0,Оболонський
329,"Предславинська вул., 55а",33300,1,50.0,Печерський
330,"Пушкінська вул., 31б",22000,2,55.0,Шевченківський
331,"Бульварно-Кудрявська вул. (Воровського), 17",33300,2,50.0,Шевченківський
332,"Лабораторний пров., 6",27750,3,115.0,Печерський
333,"Велика Васильківська вул. (Червоноармійська), 130",19000,3,98.0,Голосіївський
334,"Чорновола В'ячеслава вул., 27",30000,2,55.0,Шевченківський
335,"Велика Васильківська вул. (Червоноармійська), 130",19000,3,98.0,Печерський
336,"Лабораторний пров., 6",29600,3,115.0,Печерський
337,"Джона Маккейна вул. (Кудрі Івана), 7",25900,1,60.0,Печерський
338,"Михайла Бойчука вул. (Кіквідзе), 18б",11000,2,46.0,Печерський
339,"Євгена Коновальця вул. (Щорса), 44а",25900,2,60.0,Печерський
340,"Велика Васильківська вул. (Червоноармійська), 130",19000,3,98.0,Печерський
341,"Лабораторний пров., 6",29600,3,115.0,Печерський
342,"Джона Маккейна вул. (Кудрі Івана), 7",25900,1,60.0,Печерський
343,"Михайла Бойчука вул. (Кіквідзе), 18б",11000,2,46.0,Печерський
344,"Євгена Коновальця вул. (Щорса), 44а",25900,2,60.0,Печерський
345,"Євгена Коновальця вул. (Щорса), 15/2",10000,2,41.0,Печерський
346,"Антоновича вул. (Горького), 102",13000,1,37.0,Голосіївський
347,"Казимира Малевича вул. (Боженка), 37/41",20350,3,70.0,Голосіївський
348,"Балтійський пров., 3",15700,2,51.0,Оболонський
349,"Джона Маккейна вул. (Кудрі Івана), 7",29600,2,51.0,Печерський
350,"Драгомирова вул., 3",44400,3,90.0,Печерський
351,"Джона Маккейна вул. (Кудрі Івана), 1",40700,2,54.0,Печерський
352,"Микільсько-Слобідська вул., 3а",20350,2,55.0,Дніпровський
353,"Чорновола В'ячеслава вул., 27",30000,2,54.0,Шевченківський
355,"Чорнобильська вул., 24/26",16000,3,75.0,Святошинський
356,"Деміївська вул., 29",44400,1,60.0,Голосіївський
357,"Тираспольська вул., 54",14500,2,42.0,Подільський
358,"Регенераторна вул., 4 к1",14000,1,44.0,Дніпровський
359,"Михайла Бойчука вул. (Кіквідзе), 18б",11000,2,46.0,Печерський
360,"Оболонський просп., 26",29600,2,40.0,Оболонський
361,"Князів Острозьких вул. (Московська), 46/2",36000,3,120.0,Печерський
362,"Євгена Коновальця вул. (Щорса), 44а",25900,2,60.0,Печерський
363,"Дубініна Володі вул., 2",17000,1,45.0,Голосіївський
364,"Князів Острозьких вул. (Московська), 46/2",36000,3,120.0,Печерський
365,"Оболонський просп., 26",29600,2,40.0,Оболонський
366,"Євгена Коновальця вул. (Щорса), 15",10000,2,50.0,Печерський
367,"Антоновича вул. (Горького), 102",13000,1,37.0,Голосіївський
368,"Казимира Малевича вул. (Боженка), 37/41",20350,3,70.0,Голосіївський
369,"Євгена Коновальця вул. (Щорса), 32в",30000,4,133.0,Печерський
370,"Гусовського вул., 12/7",27750,2,68.0,Печерський
371,"Старонаводницька вул., 6 Б",31450,2,86.0,Печерський
372,"Рейтарська вул., 28",55500,5,280.0,Шевченківський
373,"Балтійський пров., 3А",15700,2,51.0,Оболонський
374,"Цитадельна вул., 5/9",9500,1,38.0,Печерський
375,"Гусовського вул., 12/7",27750,2,68.0,Печерський
376,"Мишуги Олександра вул., 8",14000,2,80.0,Дарницький
377,"Старонаводницька вул., 6б",31450,2,86.0,Печерський
378,"Велика Васильківська вул. (Червоноармійська), 29",25900,2,56.0,Печерський
379,"Володимира Івасюка просп. (Героїв Сталінграда), 50",8200,1,40.0,Оболонський
380,"Зарічна вул., 1в",20000,2,47.0,Дарницький
381,"Зарічна вул., 1б",24500,2,64.0,Дарницький
382,"Велика Васильківська вул. (Червоноармійська), 29",25900,2,56.0,Печерський
383,"Цитадельна вул., 5/9",9500,1,39.0,Печерський
384,"Микільсько-Слобідська вул., 1-А",18000,3,128.0,Дніпровський
385,"Василя Тютюнника вул. (Барбюса Анрі), 37/1",37000,3,125.0,Печерський
386,"Дарницький бульв., 4",11500,2,45.0,Дніпровський
387,"Соборності просп. (Возз'єднання), 30",15000,2,60.0,Дніпровський
388,"Євгена Сверстюка вул. (Раскової Марини), 6в",12000,1,23.0,Дніпровський
389,"Філатова академіка вул., 2/1",40700,3,107.0,Печерський
390,"Бастіонна вул., 5",10500,1,40.0,Печерський
391,"Володимира Івасюка просп. (Героїв Сталінграда), 2д",24000,4,86.0,Оболонський
392,"Бессарабська пл., 5а",21830,2,75.0,Печерський
393,"Підвисоцького професора вул., 4в",29600,1,50.0,Печерський
394,"Тарасівська вул., 20",12000,2,60.0,Голосіївський
395,"Срібнокільська вул., 14",15500,3,76.0,Дарницький
396,"Дарницький бульв., 4а",11000,2,45.0,Дніпровський
397,"Соборності просп. (Возз'єднання), 30",15000,2,60.0,Дніпровський
398,"Євгена Сверстюка вул. (Раскової Марини), 6б",12000,1,23.0,Дніпровський
399,"Гулака Миколи вул., 4",18000,2,68.0,Оболонський
400,"Срібнокільська вул., 14",15500,3,76.0,Дарницький
401,"Дарницький бульв., 4а",11000,2,45.0,Дніпровський
402,"Соборності просп. (Возз'єднання), 30",15000,2,60.0,Дніпровський
403,"Євгена Сверстюка вул. (Раскової Марини), 6б",12000,1,23.0,Дніпровський
404,"Гулака Миколи вул., 4",18000,2,68.0,Оболонський
405,"Антоновича вул. (Горького), 109",55500,2,80.0,Голосіївський
406,"Юрія Поправки вул. (Миколи Лебедєва), 14",15000,2,60.0,Дніпровський
407,"Польова вул., 73",14000,1,38.0,Солом'янський
408,"Польова вул., 73",11500,1,32.0,Солом'янський
409,"Польова вул., 73",11000,1,28.0,Солом'янський
410,"Дарницький бульв., 4",10999,2,45.0,Дніпровський
411,"Євгена Сверстюка вул. (Раскової Марини), 6г",11999,1,23.0,Дніпровський
412,"Почайнинская, 50/49",8000,1,35.0,Подільський
414,"Тарасівська вул., 20",12000,2,60.0,Голосіївський
415,"Шевченка Тараса бульв., 11",44400,2,110.0,Шевченківський
416,"Саперно-Слобідська вул., 10",14000,1,49.0,Голосіївський
417,"Львівська пл, 4а",20000,2,60.0,Шевченківський
418,"Філатова академіка вул., 2/1",40700,3,107.0,Печерський
421,"Лабораторний пров., 6",33300,3,110.0,Печерський
422,"Лесі Українки бульв., 7в",36963,2,60.0,Печерський
423,"Примаченко Марії бульв. (Лихачова), 4",10000,1,32.0,Печерський
424,"Євгена Коновальця вул. (Щорса), 7/9",22200,2,57.0,Печерський
425,"Лесі Українки бульв., 7в",55500,3,86.0,Печерський
426,"Глибочицька вул., 32В",29600,2,75.0,Шевченківський
427,"Казимира Малевича вул. (Боженка), 89",24990,1,56.0,Голосіївський
428,"Львівська пл., 4",20000,2,60.0,Шевченківський
429,"Глушкова академіка просп., 9г",18000,2,51.0,Голосіївський
430,"Межова вул., 23б",12000,2,45.0,Подільський
431,"Героїв Дніпра вул., 47",12600,1,37.0,Оболонський
432,"Жилянська вул., 68",25900,2,40.0,Голосіївський
433,"Балтійський пров., 5",15800,2,60.0,Оболонський
434,"Автозаводська вул., 5а",10000,1,40.0,Оболонський
435,"Каховська вул., 60",20000,2,62.0,Дніпровський
436,"Предславинська вул., 42",34200,2,45.0,Печерський
437,"Парково-Сирецька вул. (Шамрила Тимофія), 4В",31450,3,118.0,Шевченківський
439,"Кольцова бульв., 14д",37000,3,126.0,Святошинський
440,"Драгомирова вул., 17",25900,2,50.0,Печерський
441,"Євгена Коновальця вул. (Щорса), 36е",17500,1,45.0,Печерський
442,"Михайла Омеляновича-Павленка вул. (Суворова), 13",22990,4,125.0,Печерський
